t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T16:13:13.819204+00:00,9.89,-0.01,9.89,-0.01,-95.7,435009875.3442069,9875.3,3038.4,-6805.9,0
2026-04-09T16:13:14.143908+00:00,9.88,0.01,9.88,0.01,-96.7,435009875.3442069,9875.1,3035.9,-6805.7,0
2026-04-09T16:13:14.471571+00:00,9.87,0.03,9.87,0.03,-95.7,435009875.3442069,9875.0,3033.7,-6805.6,0
2026-04-09T16:13:14.815277+00:00,9.86,0.04,9.86,0.04,-93.7,435009875.3442069,9874.8,3031.5,-6805.5,0
2026-04-09T16:13:15.145023+00:00,9.86,0.06,9.86,0.06,-97.7,435009875.3442069,9874.6,3029.1,-6805.4,0
2026-04-09T16:13:15.468814+00:00,9.85,0.08,9.85,0.08,-93.7,435009875.3442069,9874.4,3026.9,-6805.2,0
2026-04-09T16:13:15.815644+00:00,9.84,0.09,9.84,0.09,-95.7,435009875.3442069,9874.2,3024.7,-6805.1,0
2026-04-09T16:13:16.139467+00:00,9.84,0.11,9.84,0.11,-92.7,435009875.3442069,9874.1,3022.3,-6805.0,0
2026-04-09T16:13:16.463216+00:00,9.83,0.12,9.83,0.12,-93.7,435009875.3442069,9873.9,3020.1,-6804.9,0
2026-04-09T16:13:16.791197+00:00,9.82,0.14,9.82,0.14,-96.7,435009875.3442069,9873.7,3017.9,-6804.7,0
2026-04-09T16:13:17.135219+00:00,9.82,0.16,9.82,0.16,-92.7,435009875.3442069,9873.5,3015.5,-6804.6,0
2026-04-09T16:13:17.463237+00:00,9.81,0.18,9.81,0.18,-92.7,435009875.3442069,9873.3,3013.3,-6804.5,0
2026-04-09T16:13:17.787226+00:00,9.80,0.19,9.8,0.19,-95.7,435009875.3442069,9873.1,3011.1,-6804.3,0
2026-04-09T16:13:18.135934+00:00,9.80,0.21,9.8,0.21,-91.7,435009875.3442069,9872.9,3008.9,-6804.2,0
2026-04-09T16:13:18.459526+00:00,9.79,0.23,9.79,0.23,-98.7,435009875.3442069,9872.7,3006.5,-6804.0,0
2026-04-09T16:13:18.789068+00:00,9.78,0.24,9.78,0.24,-98.7,435009875.3442069,9872.5,3004.3,-6803.9,0
2026-04-09T16:13:19.111864+00:00,9.78,0.26,9.78,0.26,-94.7,435009875.3442069,9872.3,3002.1,-6803.8,0
2026-04-09T16:13:19.455527+00:00,9.77,0.28,9.77,0.28,-95.7,435009875.3442069,9872.1,2999.7,-6803.6,0
2026-04-09T16:13:19.783551+00:00,9.76,0.29,9.76,0.29,-93.7,435009875.3442069,9871.9,2997.5,-6803.5,0
2026-04-09T16:13:20.107604+00:00,9.75,0.31,9.75,0.31,-97.7,435009875.3442069,9871.7,2995.3,-6803.3,0
2026-04-09T16:13:20.455544+00:00,9.75,0.33,9.75,0.33,-95.7,435009875.3442069,9871.5,2993.1,-6803.2,0
2026-04-09T16:13:20.779218+00:00,9.74,0.34,9.74,0.34,-93.7,435009875.3442069,9871.3,2990.8,-6803.1,0
2026-04-09T16:13:21.103687+00:00,9.73,0.36,9.73,0.36,-93.7,435009875.3442069,9871.0,2988.5,-6802.9,0
2026-04-09T16:13:21.431530+00:00,9.73,0.38,9.73,0.38,-93.7,435009875.3442069,9870.8,2986.3,-6802.8,0
2026-04-09T16:13:21.780288+00:00,9.72,0.40,9.72,0.4,-95.7,435009875.3442069,9870.6,2983.9,-6802.6,0
2026-04-09T16:13:22.104803+00:00,9.71,0.41,9.71,0.41,-97.7,435009875.3442069,9870.4,2981.8,-6802.5,0
2026-04-09T16:13:22.427557+00:00,9.71,0.43,9.71,0.43,-101.7,435009875.3442069,9870.2,2979.5,-6802.3,0
2026-04-09T16:13:22.775291+00:00,9.70,0.45,9.7,0.45,-95.7,435009875.3442069,9870.0,2977.3,-6802.2,0
2026-04-09T16:13:23.099869+00:00,9.69,0.47,9.69,0.47,-92.7,435009875.3442069,9869.7,2974.9,-6802.0,0
2026-04-09T16:13:23.427525+00:00,9.68,0.48,9.68,0.48,-95.7,435009875.3442069,9869.5,2972.7,-6801.9,0
2026-04-09T16:13:23.772353+00:00,9.68,0.50,9.68,0.5,-97.7,435009875.3442069,9869.3,2970.5,-6801.7,0
