t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T16:15:57.942098+00:00,147.07,1.75,147.07,1.75,-101.7,437659915.3281469,9915.3,2794.3,-6792.0,0
2026-04-09T16:15:58.266317+00:00,147.06,1.77,147.06,1.77,-100.7,437659915.3281469,9914.8,2791.8,-6791.7,0
2026-04-09T16:15:58.591323+00:00,147.05,1.79,147.05,1.79,-96.7,437659915.3281469,9914.4,2789.6,-6791.4,0
2026-04-09T16:15:58.930129+00:00,147.04,1.81,147.04,1.81,-89.7,437659915.3281469,9913.9,2787.4,-6791.1,0
2026-04-09T16:15:59.254128+00:00,147.03,1.83,147.03,1.83,-101.7,437659915.3281469,9913.5,2785.1,-6790.8,0
2026-04-09T16:15:59.578126+00:00,147.02,1.85,147.02,1.85,-95.7,437659915.3281469,9913.0,2782.9,-6790.5,0
2026-04-09T16:15:59.904735+00:00,147.01,1.87,147.01,1.87,-101.7,437659915.3281469,9912.6,2780.7,-6790.2,0
2026-04-09T16:16:00.251314+00:00,147.00,1.89,147.0,1.89,-97.7,437659915.3281469,9912.1,2778.3,-6789.8,0
2026-04-09T16:16:00.580706+00:00,146.99,1.91,146.99,1.91,-95.7,437659915.3281469,9911.6,2776.1,-6789.5,0
2026-04-09T16:16:00.904576+00:00,146.98,1.93,146.98,1.93,-97.7,437659915.3281469,9911.1,2773.9,-6789.2,0
2026-04-09T16:16:01.247222+00:00,146.97,1.95,146.97,1.95,-97.7,437659915.3281469,9910.7,2771.7,-6788.9,0
2026-04-09T16:16:01.576605+00:00,146.96,1.97,146.96,1.97,-98.7,437659915.3281469,9910.2,2769.3,-6788.5,0
2026-04-09T16:16:01.899506+00:00,146.95,1.99,146.95,1.99,-96.7,437659915.3281469,9909.7,2767.1,-6788.2,0
2026-04-09T16:16:02.247863+00:00,146.94,2.01,146.94,2.01,-94.7,437659915.3281469,9909.2,2764.9,-6787.9,0
2026-04-09T16:16:02.571533+00:00,146.93,2.03,146.93,2.03,-99.7,437659915.3281469,9908.7,2762.6,-6787.5,0
2026-04-09T16:16:02.895827+00:00,146.92,2.05,146.92,2.05,-101.7,437659915.3281469,9908.2,2760.4,-6787.2,0
2026-04-09T16:16:03.222922+00:00,146.91,2.07,146.91,2.07,-103.7,437659915.3281469,9907.8,2758.2,-6786.9,0
2026-04-09T16:16:03.567682+00:00,146.90,2.09,146.9,2.09,-100.7,437659915.3281469,9907.2,2755.8,-6786.5,0
2026-04-09T16:16:03.895539+00:00,146.89,2.11,146.89,2.11,-98.7,437659915.3281469,9906.8,2753.6,-6786.2,0
2026-04-09T16:16:04.219147+00:00,146.88,2.13,146.88,2.13,-98.7,437659915.3281469,9906.3,2751.4,-6785.8,0
2026-04-09T16:16:04.567519+00:00,146.87,2.15,146.87,2.15,-97.7,437659915.3281469,9905.8,2749.2,-6785.5,0
2026-04-09T16:16:04.891511+00:00,146.86,2.17,146.86,2.17,-98.7,437659915.3281469,9905.2,2746.8,-6785.1,0
2026-04-09T16:16:05.220624+00:00,146.85,2.19,146.85,2.19,-102.7,437659915.3281469,9904.7,2744.6,-6784.8,0
2026-04-09T16:16:05.547639+00:00,146.84,2.21,146.84,2.21,-99.7,437659915.3281469,9904.2,2742.4,-6784.5,0
