t,az_cmd,el_cmd,az_act,el_act,rssi,freq_hz,doppler_hz,range_km,range_rate,packets
2026-04-09T16:26:12.402234+00:00,217.53,0.01,217.53,0.01,-97.7,437513187.43986106,8187.4,2538.1,-5610.3,0
2026-04-09T16:26:12.727444+00:00,217.57,0.02,217.57,0.02,-95.7,437513187.43986106,8183.3,2536.1,-5607.5,0
2026-04-09T16:26:13.046600+00:00,217.60,0.03,217.6,0.03,-98.7,437513187.43986106,8179.7,2534.3,-5605.0,0
2026-04-09T16:26:13.390934+00:00,217.64,0.05,217.64,0.05,-95.7,437513187.43986106,8176.0,2532.5,-5602.4,0
2026-04-09T16:26:13.714139+00:00,217.68,0.06,217.68,0.06,-92.7,437513187.43986106,8172.1,2530.5,-5599.8,0
2026-04-09T16:26:14.038133+00:00,217.71,0.07,217.71,0.07,-97.7,437513187.43986106,8168.4,2528.7,-5597.2,0
2026-04-09T16:26:14.362120+00:00,217.75,0.09,217.75,0.09,-95.7,437513187.43986106,8164.7,2526.9,-5594.7,0
2026-04-09T16:26:14.706133+00:00,217.79,0.10,217.79,0.1,-91.7,437513187.43986106,8160.8,2525.0,-5592.0,0
2026-04-09T16:26:15.026209+00:00,217.82,0.12,217.82,0.12,-94.7,437513187.43986106,8157.1,2523.2,-5589.5,0
2026-04-09T16:26:15.350177+00:00,217.86,0.13,217.86,0.13,-91.7,437513187.43986106,8153.3,2521.4,-5586.9,0
2026-04-09T16:26:15.694145+00:00,217.89,0.14,217.89,0.14,-101.7,437513187.43986106,8149.6,2519.6,-5584.3,0
2026-04-09T16:26:16.018166+00:00,217.93,0.16,217.93,0.16,-95.7,437513187.43986106,8145.6,2517.6,-5581.6,0
2026-04-09T16:26:16.342130+00:00,217.97,0.17,217.97,0.17,-100.7,437513187.43986106,8141.8,2515.8,-5579.0,0
2026-04-09T16:26:16.666132+00:00,218.00,0.18,218.0,0.18,-94.7,437513187.43986106,8138.0,2514.0,-5576.5,0
2026-04-09T16:26:17.030120+00:00,218.05,0.20,218.05,0.2,-92.7,437513135.6988652,8133.8,2512.0,-5573.6,0
2026-04-09T16:26:17.354126+00:00,218.08,0.21,218.08,0.21,-93.7,437513135.6988652,8130.1,2510.2,-5571.0,0
2026-04-09T16:26:17.674134+00:00,218.12,0.23,218.12,0.23,-96.7,437513135.6988652,8126.3,2508.4,-5568.4,0
2026-04-09T16:26:18.018120+00:00,218.16,0.24,218.16,0.24,-93.7,437513135.6988652,8122.2,2506.5,-5565.6,0
2026-04-09T16:26:18.342135+00:00,218.19,0.25,218.19,0.25,-94.7,437513135.6988652,8118.4,2504.7,-5563.0,0
2026-04-09T16:26:18.666834+00:00,218.23,0.27,218.23,0.27,-91.7,437513135.6988652,8114.6,2502.9,-5560.4,0
2026-04-09T16:26:19.015206+00:00,218.27,0.28,218.27,0.28,-94.7,437513135.6988652,8110.7,2501.1,-5557.7,0
2026-04-09T16:26:19.339562+00:00,218.31,0.29,218.31,0.29,-92.7,437513135.6988652,8106.6,2499.2,-5554.9,0
2026-04-09T16:26:19.667375+00:00,218.34,0.31,218.34,0.31,-91.7,437513135.6988652,8102.8,2497.4,-5552.3,0
2026-04-09T16:26:20.011538+00:00,218.38,0.32,218.38,0.32,-94.7,437513135.6988652,8098.8,2495.5,-5549.6,0
2026-04-09T16:26:20.339572+00:00,218.42,0.34,218.42,0.34,-91.7,437513135.6988652,8094.7,2493.6,-5546.8,0
2026-04-09T16:26:20.663370+00:00,218.46,0.35,218.46,0.35,-95.7,437513135.6988652,8090.8,2491.8,-5544.1,0
2026-04-09T16:26:20.987514+00:00,218.49,0.36,218.49,0.36,-91.7,437513135.6988652,8086.9,2490.0,-5541.4,0
2026-04-09T16:26:21.335530+00:00,218.53,0.38,218.53,0.38,-91.7,437513135.6988652,8082.8,2488.1,-5538.6,0
2026-04-09T16:26:21.683565+00:00,218.57,0.39,218.57,0.39,-90.7,437513080.2531767,8078.5,2486.2,-5535.7,0
2026-04-09T16:26:22.007562+00:00,218.61,0.41,218.61,0.41,-90.7,437513080.2531767,8074.6,2484.4,-5533.0,0
2026-04-09T16:26:22.355196+00:00,218.65,0.42,218.65,0.42,-93.7,437513080.2531767,8070.4,2482.5,-5530.1,0
2026-04-09T16:26:22.678830+00:00,218.69,0.44,218.69,0.44,-91.7,437513080.2531767,8066.4,2480.7,-5527.4,0
2026-04-09T16:26:23.003510+00:00,218.72,0.45,218.72,0.45,-94.7,437513080.2531767,8062.5,2478.9,-5524.7,0
2026-04-09T16:26:23.355083+00:00,218.76,0.46,218.76,0.46,-92.7,437513080.2531767,8058.5,2477.1,-5521.9,0
2026-04-09T16:26:23.675171+00:00,218.80,0.48,218.8,0.48,-92.7,437513080.2531767,8054.3,2475.2,-5519.0,0
2026-04-09T16:26:24.003521+00:00,218.84,0.49,218.84,0.49,-93.7,437513080.2531767,8050.3,2473.4,-5516.3,0
2026-04-09T16:26:24.347511+00:00,218.88,0.51,218.88,0.51,-93.7,437513080.2531767,8046.2,2471.6,-5513.5,0
2026-04-09T16:26:24.674399+00:00,218.92,0.52,218.92,0.52,-95.7,437513080.2531767,8042.0,2469.7,-5510.6,0
2026-04-09T16:26:24.998121+00:00,218.96,0.54,218.96,0.54,-98.7,437513080.2531767,8038.0,2467.9,-5507.9,0
2026-04-09T16:26:25.322149+00:00,218.99,0.55,218.99,0.55,-91.7,437513080.2531767,8033.9,2466.1,-5505.1,0
2026-04-09T16:26:25.666173+00:00,219.03,0.56,219.03,0.56,-92.7,437513080.2531767,8029.6,2464.2,-5502.2,0
2026-04-09T16:26:25.986133+00:00,219.07,0.58,219.07,0.58,-94.7,437513080.2531767,8025.6,2462.4,-5499.4,0
2026-04-09T16:26:26.335470+00:00,219.11,0.59,219.11,0.59,-89.7,437513023.08162445,8021.3,2460.5,-5496.4,0
2026-04-09T16:26:26.678182+00:00,219.15,0.61,219.15,0.61,-95.7,437513023.08162445,8016.9,2458.6,-5493.4,0
2026-04-09T16:26:27.002174+00:00,219.19,0.62,219.19,0.62,-96.7,437513023.08162445,8012.9,2456.8,-5490.7,0
2026-04-09T16:26:27.326609+00:00,219.23,0.64,219.23,0.64,-95.7,437513023.08162445,8008.8,2455.1,-5487.9,0
2026-04-09T16:26:27.674488+00:00,219.27,0.65,219.27,0.65,-97.7,437513023.08162445,8004.7,2453.3,-5485.1,0
